Province_State,week,cases
Delaware,2020-W35,119641
Delaware,2020-W36,17429
Delaware,2020-W37,18849
Delaware,2020-W38,135007
Delaware,2020-W39,139706
Delaware,2020-W40,61533
Delaware,2020-W42,136178
Delaware,2020-W43,164919
Delaware,2020-W44,147064
Delaware,2020-W46,85214
Delaware,2020-W47,212605
Delaware,2020-W48,235540
Delaware,2020-W49,35654
Delaware,2020-W50,45460
Delaware,2020-W51,340157
Delaware,2020-W52,371112
Delaware,2020-W53,225729
Diamond Princess,2020-W04,0
Diamond Princess,2020-W05,0
Diamond Princess,2020-W07,0
Diamond Princess,2020-W08,0
Diamond Princess,2020-W09,0
Diamond Princess,2020-W11,0
Diamond Princess,2020-W12,288
Diamond Princess,2020-W13,343
Diamond Princess,2020-W14,98
Diamond Princess,2020-W16,343
Diamond Princess,2020-W17,343
Diamond Princess,2020-W18,196
Diamond Princess,2020-W20,245
Diamond Princess,2020-W21,343
Diamond Princess,2020-W22,343
Diamond Princess,2020-W24,98
Diamond Princess,2020-W25,343
Diamond Princess,2020-W26,343
Diamond Princess,2020-W27,98
Diamond Princess,2020-W29,343
Diamond Princess,2020-W30,343
Diamond Princess,2020-W31,245
Diamond Princess,2020-W33,196
Diamond Princess,2020-W34,343
Diamond Princess,2020-W35,343
Diamond Princess,2020-W36,49
Diamond Princess,2020-W37,49
Diamond Princess,2020-W38,343
Diamond Princess,2020-W39,343
Diamond Princess,2020-W40,147
Diamond Princess,2020-W42,294
Diamond Princess,2020-W43,343
Diamond Princess,2020-W44,294
Diamond Princess,2020-W46,147
Diamond Princess,2020-W47,343
Diamond Princess,2020-W48,343
Diamond Princess,2020-W49,49
Diamond Princess,2020-W50,49
Diamond Princess,2020-W51,343
Diamond Princess,2020-W52,343
Diamond Princess,2020-W53,196
District of Columbia,2020-W04,0
District of Columbia,2020-W05,0
District of Columbia,2020-W07,0
District of Columbia,2020-W08,0
District of Columbia,2020-W09,0
District of Columbia,2020-W11,0
District of Columbia,2020-W12,386
District of Columbia,2020-W13,1596
District of Columbia,2020-W14,896
District of Columbia,2020-W16,16495
District of Columbia,2020-W17,23660
District of Columbia,2020-W18,16315
District of Columbia,2020-W20,34356
District of Columbia,2020-W21,54012
District of Columbia,2020-W22,59513
District of Columbia,2020-W24,19476
District of Columbia,2020-W25,69323
District of Columbia,2020-W26,71088
District of Columbia,2020-W27,20619
District of Columbia,2020-W29,77524
District of Columbia,2020-W30,81012
District of Columbia,2020-W31,59985
District of Columbia,2020-W33,52521
District of Columbia,2020-W34,93954
District of Columbia,2020-W35,96536
District of Columbia,2020-W36,13992
District of Columbia,2020-W37,14592
District of Columbia,2020-W38,103551
District of Columbia,2020-W39,105783
District of Columbia,2020-W40,45890
District of Columbia,2020-W42,97325
District of Columbia,2020-W43,115957
District of Columbia,2020-W44,102175
District of Columbia,2020-W46,56457
District of Columbia,2020-W47,137436
District of Columbia,2020-W48,145644
District of Columbia,2020-W49,21552
District of Columbia,2020-W50,24874
District of Columbia,2020-W51,180856
District of Columbia,2020-W52,191650
