Province_State,week,retail_and_recreation_percent_change_from_baseline
Hawaii,2020-W09,2.3142857142857145
Hawaii,2020-W10,1.0571428571428572
Hawaii,2020-W11,-3.2857142857142856
Hawaii,2020-W12,-27.65714285714286
Hawaii,2020-W13,-53.51428571428571
Hawaii,2020-W14,-54.68571428571428
Hawaii,2020-W15,-58.05714285714286
Hawaii,2020-W16,-58.285714285714285
Hawaii,2020-W17,-56.68571428571428
Hawaii,2020-W18,-53.857142857142854
Hawaii,2020-W19,-50.91428571428571
Hawaii,2020-W20,-50.6
Hawaii,2020-W21,-47.2
Hawaii,2020-W22,-46.17142857142857
Hawaii,2020-W23,-42.628571428571426
Hawaii,2020-W24,-41.8
Hawaii,2020-W25,-40.05714285714286
Hawaii,2020-W26,-40.114285714285714
Hawaii,2020-W27,-39.285714285714285
Hawaii,2020-W28,-39.4
Hawaii,2020-W29,-39.08571428571429
Hawaii,2020-W30,-41.02857142857143
Hawaii,2020-W31,-40.34285714285714
Hawaii,2020-W32,-40.857142857142854
Hawaii,2020-W33,-42.714285714285715
Hawaii,2020-W34,-44.457142857142856
Hawaii,2020-W35,-46.94285714285714
Hawaii,2020-W36,-47.114285714285714
Hawaii,2020-W37,-48.97142857142857
Hawaii,2020-W38,-48.02857142857143
Hawaii,2020-W39,-46.8
Hawaii,2020-W40,-44.8
Hawaii,2020-W41,-44.05714285714286
Hawaii,2020-W42,-44.285714285714285
Hawaii,2020-W43,-39.51428571428571
Hawaii,2020-W44,-38.628571428571426
Hawaii,2020-W45,-37.42857142857143
Hawaii,2020-W46,-35.74285714285714
Hawaii,2020-W47,-36.17142857142857
Hawaii,2020-W48,-38.285714285714285
Hawaii,2020-W49,-33.68571428571428
Hawaii,2020-W50,-35.142857142857146
Hawaii,2020-W51,-33.8
Hawaii,2020-W52,-37.142857142857146
Hawaii,2020-W53,-29.45
Idaho,2020-W07,7.415094339622642
Idaho,2020-W08,5.447619047619048
Idaho,2020-W09,9.54066985645933
Idaho,2020-W10,10.256038647342995
Idaho,2020-W11,6.971153846153846
Idaho,2020-W12,-8.919431279620854
Idaho,2020-W13,-32.789954337899545
Idaho,2020-W14,-37.95175438596491
Idaho,2020-W15,-36.53012048192771
Idaho,2020-W16,-28.023809523809526
Idaho,2020-W17,-24.773809523809526
Idaho,2020-W18,-18.36144578313253
Idaho,2020-W19,-11.518072289156626
Idaho,2020-W20,-12.061224489795919
Idaho,2020-W21,-2.6491228070175437
Idaho,2020-W22,-0.40869565217391307
Idaho,2020-W23,4.170940170940171
Idaho,2020-W24,4.683760683760684
Idaho,2020-W25,8.38135593220339
Idaho,2020-W26,8.743589743589743
Idaho,2020-W27,9.816666666666666
Idaho,2020-W28,8.777777777777779
Idaho,2020-W29,8.201680672268907
Idaho,2020-W30,6.932203389830509
Idaho,2020-W31,7.630252100840337
Idaho,2020-W32,8.745762711864407
